Zeilennummer;String;Englische Übersetzung
31688;Die Zinsprüfung stimmt noch nicht. Rechne Einlage × 5 % je Zinsrunde.;
31708;Bankprüfung;
31713;"f""Bau-Budget: {self.budget}""";
31715;"f""Bank: {self.bank_deposit} · offene Zinsen: {self.bank_pending_interest}""";
31780;Gorilla-Parabeln – Wolkenkratzer;
31824;"f""Spieler {player}""";
31834;Ergebnis;
31836;Banane werfen;
31848;Der eingegebene Rechenwert bestimmt die Wurfhöhe. \nEin absichtlich anderer Wert verändert die Parabel.;
31862;Neue Skyline;
31907;"Spieler 1 beginnt. Löse die angezeigte Aufgabe. \nFalsche oder absichtlich veränderte Werte können Löcher in \nWolkenkratzer schlagen; durch diese Öffnungen können spätere \nBananen hindurchfliegen.";
32235;"""Berechne die Wurfhöhe:\n""\n                    f""{self.task_text[player]} = ?""";
32246;"f""Spieler {player}""";
32247; – am Zug;
32247;;
32250;"f""Am Zug: Spieler {self.current_player}""";
32252;"f""Wind: → {abs(self.wind)}""";
32254;"f""Wind: ← {abs(self.wind)}""";
32256;Wind: 0;
32270;"f""Spieler {player}: Bitte zuerst einen ganzzahligen Rechenwert eingeben.""";
32276;Der Wurfwert muss zwischen 0 und 999 liegen.;
32309;"f""Spieler {player} wirft mit dem korrekt berechneten Wert {power}.""";
32314;"f""Spieler {player} wirft mit {power}. ""\n                    f""Das sind {difference:+d} gegenüber dem Rechenergebnis.""";
32315;:+d;
32445;"f""Spieler {shooter}: Wolkenkratzer getroffen. ""\n                ""Der Einschlag ist jetzt eine echte Durchflugöffnung.""";
32456;"f""Spieler {shooter}: Die Banane hat die Skyline verfehlt.""";
32491;"f""Spieler {shooter} gewinnt""";
32493;"f""Treffer! Spieler {shooter} hat Gorilla {target} erreicht.""";
32497;Gorilla-Parabeln;
32498;"f""Spieler {shooter} gewinnt. Der gegnerische Gorilla wurde getroffen.""";
32579;Cantor – Diagonal Argument;
32587;Die Matrix verwendet die Cantor-Paarungsfunktion zur diagonalen Nummerierung von Paaren natürlicher Zahlen:\nπ(r,c) = ((r+c) · (r+c+1)) / 2 + c;
32598;Reihen:;
32605;"f""Anzahl der Reihen, 1 bis {self.MAX_ROWS}; 0 = leer""";
32608;Spalten:;
32615;"f""Anzahl der Spalten, 1 bis {self.MAX_COLUMNS}; 0 = leer""";
32618;Berechnen;Calculate
32640;Nach 'Berechnen' enthält jede Listenzeile eine Matrix-Reihe.;
32645;Reihen und Spalten sind noch leer. Bitte beide Werte einstellen.;
32687;"f""Bereit: {rows} Reihen × {columns} Spalten. ""\n                    ""Mit „Berechnen“ wird die Diagonal-Matrix gefüllt.""";
32692;Reihen und Spalten sind noch leer. \nBitte beide Werte einstellen.;
32703;Bitte zuerst Reihen und Spalten größer als 0 einstellen.;
32759;"f""Berechnet: {rows} Reihen × {columns} Spalten. ""\n                f""Letzter sichtbarer Wert: {matrix[-1][-1]}.""";
32825;Pascal Dreieck;
32833;Jeder innere Wert ist die Summe der beiden Werte \nlinks und rechts darüber. Die Randwerte sind immer 1.;
32842;Tiefenlevel:;
32849;"f""Anzahl sichtbarer Reihen ({self.MIN_DEPTH} bis {self.MAX_DEPTH})""";
32969;"f""{depth} Reihen · letzte Reihe: {rows[-1]}""";
33467;Fibonacci Spirale;
33475;"Die Fibonacci-Darstellung liegt in einer scrollbaren QGraphicsScene. \nOben werden Fibonacci-Flächen mit QPainter gezeichnet; darunter zeigt \ndas weit auseinandergezogene, nochmals um 20 % vergrößerte Pascal-Dreieck \ndie flachen Diagonalsummen.";
33524;Fibonacci-Index n:;
33536;"Index n der Fibonacci-Zahl; zulässig sind 1 bis 1000.";
33541;Berechnen;Calculate
33554;Binet: Fₙ = (φⁿ − ψⁿ) / √5;
33562;Ergebnis:;
33570;Mit „Berechnen“ wird F(n) über die Binetsche Formel bestimmt.;
33576;Bereit. Die SpinBox akzeptiert Werte von 1 bis 1000.;
33633;Bereit. Die SpinBox akzeptiert Werte von 1 bis 1000.;
33642;Index geändert. Mit „Berechnen“ die Fibonacci-Zahl bestimmen.;
33651;"f""F({index}) wurde mit der Binetschen Formel berechnet ""\n                f""({len(value_text)} Dezimalstelle""";
33653;;
33653;n;
33654;).;
33740;Doppelklick auf einen Fakt öffnet rechts die zugehörige Darstellung.;
33755;Fakten;
33762;Doppelklick auf einen Eintrag startet das Lernspiel rechts in der Arbeitsfläche.;
33774;Spiele;
33824;Informationen;Information
33830;Wähle links unter „Fakten“ oder „Spiele“ per Doppelklick einen Eintrag aus.;
34263;Qt5 D64- und Dateisystem-Explorer;
34308;Bereit;Ready
34614;Projekt: Windows Anwendung ...;
34617;Ein neues Windows-Anwendungsprojekt anlegen;
34624;Projekt: Amiga 500 ADF ...;
34627;Ein neues Amiga-500-ADF-Projekt anlegen;
34634;Projekt: C= 64 Programm ...;
34637;Ein neues C=64-Programmprojekt anlegen;
34644;Projekt: PROLOG;
34647;Ein neues Windows-PROLOG-Projekt anlegen;
34654;Projekt: LOGO;
34657;Ein neues Windows-LOGO-Projekt anlegen;
34664;Projekt: dBase;
34667;Ein neues Windows-dBase-Projekt für PE32/PE32+ anlegen;
34678;Textdatei;
34682;Eine neue Textdatei anlegen;
34687;BASIC-Programm;
34691;Assembler-Programm;
34695;Pascal-Programm;
34699;C-Programm;
34703;LISP-Programm;
34707;Prolog-Programm;
34711;LOGO-Programm;
34715;dBase-Programm;
34719;C-64 Character Map;
34723;C-64 Text Screen;
34727;C-64 Pixel Screen;
34735;Öffnen …;
34740;Eine Text-, Assembler-, Pascal-, C-, LISP-, PROLOG- oder LOGO-Datei öffnen;
34746;Speichern;Save
34754;Speichern unter ...;
34760;Registerkarte schließen;
34768;Arbeitsverzeichnis wählen …;
34778;Übergeordnetes Verzeichnis;
34786;Aktualisieren;
34792;Beenden;
34796;Über ...;
34799;Desktop-Einstellungen ...;
34802;Desktop-, Tabellen-, Datei- und Alias-Einstellungen öffnen;
34806;help;
34807;CHM-Viewer ...;
34812;Hilfe öffnen;
34814;CHM-Hilfedatei mit Themen und Schlüsselwörtern öffnen;
34820;C64 Character-Editor …;
34825;255 frei editierbare C64-Zeichen im 8x8-Raster bearbeiten;
34833;C64 Paletten-Editor …;
34838;Die 16 C64-Farben bearbeiten und als Quellcode exportieren;
