Zeilennummer;String;Englische Übersetzung
15589;;
15598;Ungespeicherte Palette;Unsaved palette
15599;Die Palette wurde geändert. Vor dem Fortfahren speichern?;
15629;Palette konnte nicht geladen werden;
15639;"f""Palette geladen: {self.current_path.name}""";
15653;Speichern fehlgeschlagen;
15657;"f""Palette gespeichert: {self.current_path.name} – 48 Bytes""";
15711;Export fehlgeschlagen;
15715;"f""Palette als {output_format} gespeichert: {target.name}""";
15937;C64 Text-Bildschirm-Editor;
15958;Neu;New
15959;Laden …;Load …
15960;Speichern;Save
15961;Speichern unter …;Save as …
15966;Neue Bildschirmseite – 1000 Zeichen + 1000 Farben;
15985;Zeichen;
16003;"f""Zeichen ${code:02X} / {code}""";
16003;:02X;
16007;Zeichenfarbe;
16018;Bildschirmseite;
16020;Leeren;Clear
16021;Mit Auswahl füllen;
16026;Ausgabe Format;Output format
16037;Quellcode speichern unter...;
16044;Bereit;Ready
16045;Schließen;Close
16080;"f""Position {x:02d},{y:02d} – Zeichen ${character:02X} – Farbe {color}""";
16080;:02d;
16080;:02d;
16080;:02X;
16091;C64 Text-Bildschirm-Editor;
16091; *;
16091;;
16100;Ungespeicherte Bildschirmseite;
16101;Die Bildschirmseite wurde geändert. Vor dem Fortfahren speichern?;
16119;Neue Bildschirmseite – 1000 Zeichen + 1000 Farben;
16120;Neue leere Bildschirmseite angelegt;
16141;Bildschirmseite konnte nicht geladen werden;
16147;"f""Bildschirmseite geladen: {self.current_path.name}""";
16159;Speichern fehlgeschlagen;
16163;"f""Bildschirmseite gespeichert: {self.current_path.name} – 2000 Bytes""";
16215;Quellcodeexport fehlgeschlagen;
16219;"f""Bildschirmseite als {output_format} gespeichert: {target.name}""";
16465;C64 Pixel-Bildschirm-Editor;
16482;Neu;New
16483;Laden …;Load …
16484;Speichern;Save
16485;Speichern unter …;Save as …
16490;Neuer Pixelbildschirm – 320x200 / 16 Farben;
16508;Werkzeuge;Tools
16523;16 Farben;
16529;"f""{index:X}""";
16529;:X;
16537;"f""{index:02d} – {name}""";
16537;:02d;
16547;Bild;
16549;Schwarz löschen;
16550;Mit Farbe füllen;
16555;Ausgabe Format;Output format
16566;Quellcode speichern unter...;
16574;Bereit;Ready
16575;Schließen;Close
16594;"f""Pixel {x:03d},{y:03d} – Farbe {color:02d}""";
16594;:03d;
16594;:03d;
16594;:02d;
16599;C64 Pixel-Bildschirm-Editor;
16599; *;
16599;;
16608;Ungespeicherter Pixelbildschirm;
16609;Der Pixelbildschirm wurde geändert. Vor dem Fortfahren speichern?;
16624;Neuer Pixelbildschirm – 320x200 / 16 Farben;
16625;Neuer schwarzer Pixelbildschirm angelegt;
16646;Pixelbildschirm konnte nicht geladen werden;
16652;"f""Pixelbildschirm geladen: {self.current_path.name}""";
16662;Speichern fehlgeschlagen;
16666;"f""Pixelbildschirm gespeichert: {self.current_path.name} – 32000 Bytes""";
16714;Quellcodeexport fehlgeschlagen;
16718;"f""Pixelbildschirm als {output_format} gespeichert: {target.name}""";
16746;PETSCII-Zeichen auswählen;
16755;"f""PETSCII-Zeichen für Byte an Offset ${byte_index & 0xFFFF:04X}""";
16755;:04X;
16762;Ein Klick ersetzt das Byte sofort in der Hex- und \nZeichenansicht. $00 ist NUL und daher kein Zeichenbutton.;
16781;HEX;
16786;"f""{nibble:X}""";
16786;:X;
16790;"f""{nibble:X}""";
16790;:X;
16812;"f""PETSCII-Byte ${byte_value:02X}""";
16812;:02X;
16815;"f""PETSCII ${byte_value:02X} ""\n                    f""(dezimal {byte_value})""";
16815;:02X;
16847;Schließen;Close
17356;Kopieren;Copy
17357;Ausschneiden;Cut
17358;Einfügen;Paste
17361;PETSCII-Zeichen auswählen...;
17364;Speichern;Save
17365;Speichern unter...;
17597;Assemble;
17602;Quelltext in ein C64-PRG übersetzen;
17609;Start;
17616;Das zuletzt assemblierte Programm in VICE starten;
17632;Compiler-/Assemblerziel auswählen;
17643;680x0-CPU-Profil für den Amiga-Assembler;
17663;Windows-Anwendungsart: Konsole, GUI, Direct2D oder Direct3D;
17669;Verbose;
17674;"PROLOG Verbose: aktiviert = automatische Top-Level-Lösungen ausblenden; \nwrite/writeln bleiben sichtbar";
17680;Noch nicht assembliert;
17733;Rohdaten;
17746;MarkDown;
17777;Assemble;
17784;Angezeigten Assemblercode in ein C64-PRG übersetzen;
17794;Start;
17801;Das aus dem ASM-Tab erzeugte Programm in VICE starten;
17820;Compiler-/Assemblerziel auswählen;
17856;Verbose;
17864;"PROLOG Verbose: aktiviert = automatische Top-Level-Lösungen ausblenden; \nwrite/writeln bleiben sichtbar";
17871;COFF32 .o;
17874;Angezeigten PE32-Assemblercode als relocierbares COFF32-Objekt speichern;
17881;ASM-Daten werden beim Kompilieren erzeugt;
17934;Nach dem Kompilieren werden hier die ASM-Daten angezeigt.;
17952;ASM;
17981;Hex-Editor;
17992;Hinweise werden später an dieser Stelle angezeigt.;
17994;Hinweise;
18177;"f""{count} Breakpoint(s) – erneut Compile/Assemble ausführen""";
18208;Quelltext geändert – erneut Compile ausführen;
18236;Assemblercode geändert;
18317;"f""ASM-Daten für {target_name} werden beim Kompilieren erzeugt""";
18346;"f""CPU: {normalized} – erneut Compile/Assemble ausführen""";
18371;"f""{normalized} – erneut Compile/Assemble ausführen""";
18394;"f""{normalized} – erneut Compile/Assemble ausführen""";
18420;PROLOG Verbose ;
18420;aktiv – Compile erneut ausführen;
18420;inaktiv – Compile erneut ausführen;
18423;ASM-Daten werden beim nächsten PROLOG-Compile neu erzeugt;
18456;COFF64 .o;
18457;Angezeigten PE64-Assemblercode als relocierbares AMD64-COFF64-Objekt speichern;
18459;COFF32 .o;
18460;Angezeigten PE32-Assemblercode als relocierbares COFF32-Objekt speichern;
18568;"f""Das zuletzt erzeugte Programm in {emulator_name} starten""";
18571;"f""Das aus dem ASM-Tab erzeugte Programm in {emulator_name} starten""";
18573;Assemble;
18575;"f""Angezeigten {target_name}-Assemblercode in ein ""\n                f""{output_name} übersetzen""";
18633;Compile;
18635;C64 BASIC in MOS-6510-Assembler übersetzen;
18638;Noch nicht kompiliert;
18640;Compile;
18642;"f""Pascal mit ANTLR in {target_name}-Assembler übersetzen""";
18645;Noch nicht kompiliert;
18647;Compile;
18649;"f""C mit ANTLR in {target_name}-Assembler übersetzen""";
18652;Noch nicht kompiliert;
18654;Compile;
18656;"f""LISP in {target_name}-Assembler übersetzen""";
18659;Noch nicht kompiliert;
18661;Compile;
18663;"f""PROLOG in {target_name}-Assembler übersetzen""";
18666;Noch nicht kompiliert;
18668;Compile;
18670;LOGO in nativen Windows-PE32-Assembler übersetzen;
18673;Noch nicht kompiliert;
18675;Compile;
18677;"f""dBase für {target_name} kompilieren (?/??, Ausdrücke, Kommentare)""";
18680;Noch nicht kompiliert;
18682;Assemble;
18684;"f""{target_name}-Assemblerquelltext in ein ""\n                    f""{output_name} übersetzen""";
18688;Noch nicht assembliert;
18781;"f""Erzeugt: {self.generated_assembly_path.name}""";
18812;"f""Erzeugt: {self.assembled_program_path.name}""";
18820;"f""Erzeugt: {self.assembled_program_path.name}""";
18876;"f""Assembler-Befehl {mnemonic}""";
19058;Ersten Treffer suchen;
19128;Seiten-Quelltext;
19133;Schließen;Close
19154;CHM Viewer;
19190;Hilfe öffnen …;
19194;CHM-Datei öffnen;
19196;Programm beenden;
19198;Kopieren;Copy
19200;Seiten Quelltext;
19202;Über …;
19206;Start;
19209;index.html anzeigen;
19212;Zurück;
19217;Vor;
19263;Themen;
19264;Schlüsselwörter;
19265;Favoriten;
19269;Aktuelle Seite hinzufügen;
19273;Entfernen;Remove
19316;Keine CHM-Datei geöffnet;
19323;Bereit;Ready
19366;Lade Seite …;
19370;"f""Lade Seite … {value} %""";
19505;CHM Viewer;
19506;"f""Datei nicht gefunden:\n{source}""";
19511;CHM-Datei wird entpackt …;
19524;CHM Viewer;
19526;CHM-Datei konnte nicht geöffnet werden;
19552;"f""{source.name} – CHM Viewer""";
19557;"f""{topic_count} Themen und {keyword_count} ""\n                ""Schlüsselwörter geladen""";
19618;"f""Kein Hilfethema für „{word}“ gefunden""";
19637;"f""Kontexthilfe: {language_name or 'allgemein'} / {word}""";
19637;allgemein;
19790;"f""Treffer: {item.text(0)}""";
19797;"f""Kein Treffer für „{text}“""";
19819;"f""Hilfeseite nicht gefunden: {value}""";
19919;Die aktuelle Seite kann nicht gespeichert werden;
19932;Diese Seite ist bereits als Favorit gespeichert;
19940;"f""Favorit gespeichert: {title}""";
19955;Favorit entfernt;
19995;Seite geladen;
19998;Die Seite konnte nicht geladen werden;
20006;"f""{visible_title} – CHM Viewer""";
21596;Hilfe;Help
21597;"""dBase FORM - Designer-Root\n\n""\n                    f""Name/Klasse: {item.component_name}\n""\n                    f""Runtime-Position: Left={left}, Top={top}\n""\n                    f""Client-Größe: {width} x {height}\n\n""\n                    ""Min/Max/Close sind im Designer nur Symbole.""";
21611;Hilfe;Help
21612;"""Designer-Komponente\n\n""\n                f""Typ: {item.component_type}\n""\n                f""Name: {item.component_name}\n""\n                f""Parent: {parent_text}\n""\n                f""Position: Left={left}, Top={top}\n""\n                f""Größe: {width} x {height}""";
21623;Hilfe;Help
21624;Formular-Designer\n\nRechte Maustaste: Kontextmenü öffnen.\nCTRL + linke Maustaste + Ziehen: in 10-Pixel-Schritten verschieben.\nOhne CTRL: in 1-Pixel-Schritten verschieben.\nDesigner-Limits von Panels und Border-Innenkanten bleiben aktiv.;
21726;Hilfe;Help
21728;Kopieren;Copy
21729;Einfügen;Paste
21730;Ausschneiden;Cut
21731;Entfernen;Remove
21988;Image;
21999;A;
21999;B;
21999;C;
22000;1;
22000;2;
22000;3;
22008;Bereit;Ready
22012;Neu;New
22013;Öffnen;Open
22033;Nicht-visuelle Designer-Komponente: ;
22970;Key;
22970;Value;
23102;...;
23116;...;
23174;...;
23189;...;
23250;...;
23317;Eigenschaften;Properties
23326;Ereignis;
23326;Prozedur;
23326;Quelle;
23341;Ereignisse;Events
23342;Methoden;
23360;Standard;
23376;Datenbank;Database
23377;Erweitert;
23427;...;
23698;"f""{spec['title']} auswählen und anschließend im Formular platzieren""";
23698;title;
23711;"f""{spec['title']} auswählen und als 42x42-Komponente platzieren""";
23711;title;
23830;→;
23832;Zur Event-Prozedur im Quellcode springen;
24505;Feld als Index-Kandidat markieren;
24720;Hinzufügen;
24721;Kopieren;Copy
24722;Ausschneiden;Cut
24723;Einfügen;Paste
24724;Löschen;Delete
24761;Speichern;Save
24762;Speichern unter ...;
24763;Laden;
24780;Felder;
24826;"f""DBF gespeichert: {self.dbf_path}""";
24861;"f""DBF gespeichert: {path}""";
24886;"f""DBF geladen: {path}""";
24961;Alias:;
24984;...;
25049;;
25051;;
25069;options;
25069;;
25082;Fehler;Error
25082;Bitte einen Alias-Namen eingeben.;
25087;Alias existiert bereits;
25088;"f""Der Alias '{alias}' existiert schon.\nSoll er überschrieben werden?""";
25102;Entfernen;Remove
25102;"f""Alias '{alias}' wirklich entfernen?""";
25120;"f""PATH:{dirs[0]}""";
25144;Fehler;Error
25144;"f""Alias '{new_alias}' existiert bereits.""";
25176;Alias:;
25189;...;
25243;;
25244;;
25258;;
25259;;
25280;Fehler;Error
25280;Bitte einen Alias-Namen eingeben.;
25284;Fehler;Error
25284;Bitte einen Pfad eingeben oder auswählen.;
25289;Alias existiert bereits;
25290;"f""Der Alias '{alias}' existiert schon.\nSoll der Pfad überschrieben werden?""";
25304;Entfernen;Remove
25304;"f""Alias '{alias}' wirklich entfernen?""";
25345;Fehler;Error
25345;"f""Alias '{new_alias}' existiert bereits.""";
25480;kurz;
25480;lang;
25501;"f""1{thousand}000{thousand}000{decimal}00""";
25531;"f""{marker} {number}""";
25531;"f""{number} {marker}""";
25853;";";
25900;desktop/files/current_dir;
25900;current_dir;
25900;current_dir;
25901;desktop/files/search_path;
25901;search_path;
25901;search_path;
25903;desktop/files/logfile;
25903;logfile;
25903;logfile;
25907;desktop/files/external_editor;
25907;external_editor;
25907;external_editor;
26010;desktop/programming/error_log_file;
26010;error_log_file;
26010;error_log_file;
26012;desktop/programming/html_template;
26012;html_template;
26012;html_template;
26044;Desktop-Einstellungen übernommen;
26079;1.000.000,00;
26088;lang;
26101;129,99 EUR;
26115;12.04.2026;
26153;dBASE;
26153;Paradox;
26153;SQLite 3;
26153;MySQL;
26187;Pfad;
26188;...;
26189;...;
26191;...;
26193;...;
26221;...;
26223;...;
26229;Hier könnte deine Hilfe stehen :);
26272;Andocken / Abdocken;
26282;Dock-Fenster schließen;
26431;Datei öffnen;
26468;Zurück;
26472;Vor;
26476;Eine Verzeichnisebene höher;
26496;Vollständigen Verzeichnispfad bearbeiten;
26508;Unterverzeichnisse anzeigen;
26525;Verzeichnis-Schaltflächen anzeigen;
26530;Search;
26541;Datei-/Verzeichnisnamen filtern;
26585;Dateierweiterungen;
26603;Datei mit vollständiger Pfadangabe;
26609;Öffnen;Open
26611;Abbrechen;Cancel
26722;(keine Unterverzeichnisse);
26749;Verzeichnis nicht gefunden;
26750;"f""Das Verzeichnis ist nicht verfügbar:\n{candidate}""";
26933;Datei öffnen;
26933;Bitte eine Datei auswählen.;
26945;Datei öffnen;
26946;"f""Die Datei wurde nicht gefunden:\n{candidate}""";
27045;Alternative auswählen;
27055;"f""{len(self._alternatives)} mögliche Alternative(n)""";
27060;Alternativen durchsuchen …;
27077;OK;
27078;Abbrechen;Cancel
27187;▼;
27188;Alternativen dieses Parent-Levels anzeigen;
27214;Alternativen:;
27254;Prüfen;Check
27295;"f""Alternativen zu {parent_text}:""";
27302;Alternative suchen …;
27451;Diesen Level und alle folgenden Level löschen;
27539;Hinzufügen;
27541;Eine weitere unabhängige Wissens-Abfrage hinzufügen;
27545;Löschen;Delete
27547;Diese Wissens-Abfrage löschen;
27571;Wert für den nächsten Level, z. B. gesund;
27574;Prüfen +;
27577;Eingabe oder gewählte Alternative als nächsten PROLOG-Level prüfen und bei wahr hinzufügen;
27582;Bitte links einen Fakt bzw. eine Regel auswählen.;
27620;Alternativen:;
27632;Mögliche Werte für den nächsten Entscheidungs-Level;
27656;Prüfen +;
27661;Gewählte Alternative prüfen und bei wahr als nächsten Level rechts anhängen;
27668;;
27731;PROLOG – Wissen-Datenbanken;
27781;Verzeichnis:;
27787;Verzeichnis der Wissen-Datenbanken;
27791;…;
27792;Verzeichnis auswählen;
27798;Wissen-Datenbank:;
27805;Öffnen;Open
27807;Selektierte Wissen-Datenbank öffnen;
27819;Fakten / Regeln;
27822;"Jedes Prädikat erscheint hier nur einmal; doppelte Fakten werden zusammengefasst.";
27832;Faktenname filtern …;
27834;Fakten und Regeln nach Namen filtern;
27842;Stelligkeit/Argumentanzahl 1 bis 100 auswählen;
27848;Faktenfilter anwenden;
27856;Fakt / Regel;
27856;Stelligkeit;
27912;Keine Datenbank geladen;
27915;Schließen;Close
28435;"f""Nach Abfrage {number} eine weitere unabhängige Wissens-Abfrage hinzufügen""";
28437;"f""Abfrage {number} löschen""";
28641;Wissen-Datenbank konnte nicht geöffnet werden;
28649;"f""Geladen: {path.name}   –   {len(model.predicates)} eindeutige Prädikat(e)""";
28672;"f""Geladen: {path.name}   –   {len(model.predicates)} eindeutige Prädikat(e)""\n                    f""   –   {len(self.query_lanes)} gespeicherte Abfrage(n)""";
28691;"f""{predicate.name}/{predicate.arity}""";
28740;Alternativen:;
28843;"f""Alternativen zu {parent_text}:""";
28852;Alternative suchen …;
29087;Abfrage ist vollständig;
29103;"f""Wert für Level {level} eingeben oder ▼ am Parent öffnen""";
29199;→;
29316;"f""Alternative unter {parent_text} auswählen""";
29470;❐;
29471;Wiederherstellen;
29473;□;
29474;Maximieren;
29660;Wähle links im Tab „Spiele“ eine Zahlenmauer-Aufgabe aus.;
29687;Die ersten zwei Pyramiden besitzen nur Vorgaben in der 1. Stufe. \nDie nächsten zwei Pyramiden geben zusätzlich Randwerte der 2. Stufe vor.;
29694;Prüfen;Check
29767;f'{self.current_game_title} — Löse die 10 Zahlenmauern in der '\n                'QGraphicsScene. Nicht alle Werte sind vorgegeben.';
29778;Fülle alle Eingabefelder aus. Der Prüfen-Button wird erst dann freigeschaltet.;
29921;0;
30018;Alle Felder sind ausgefüllt. Mit „Prüfen“ werden die Summen kontrolliert.;
30022;Bitte fülle zuerst alle leeren Zahlenblöcke aus.;
30042;Sehr gut! Alle Zahlenmauern stimmen. Es werden neue Zufallszahlen erzeugt.;
30046;Zahlenmauer;
30047;Alle Summen stimmen. Neue Zufallszahlen werden geladen.;
30052;Mindestens eine Zahlenmauer ist noch nicht korrekt. Rot markierte Felder bitte überprüfen.;
30073;Mathematik-Spiel;
30079;;
30091;Wähle ein Spiel aus.;
30094;Prüfen;Check
30139;Löse alle Aufgaben.;
30174;Fülle alle 12 Ergebnisse aus.;
30195;?;
30249;Alle Antworten sind eingetragen. Jetzt kannst du prüfen.;
30251;Fülle zuerst alle 12 Ergebnisse aus.;
30277;Mathematik;Mathematics
30278;Alle Aufgaben sind richtig. Eine neue Runde wird erzeugt.;
30283;f'{correct_count} von {len(self._task_entries)} Aufgaben sind richtig. '\n                    'Rot markierte Aufgaben bitte noch einmal prüfen.';
30383;Fülle die leeren Felder mit den Ziffern 1 bis 9. In jeder Zeile, \nSpalte und jedem 3×3-Block darf jede Ziffer nur einmal vorkommen.;
30431;;
30435;Eingaben löschen;
30439;Neues Sudoku;
30443;Prüfen;Check
30512;"f'Schwierigkeitsgrad: {label}. {clues} Felder sind vorgegeben. '\n                'Fülle alle freien Felder mit 1 bis 9; Zeile, Spalte und 3×3-Block '\n                'dürfen keine doppelte Ziffer enthalten.'";
30541;Fülle alle freien Felder aus. Konflikte in Zeile, Spalte oder 3×3-Block \nwerden rot markiert.;
30557;Die eigenen Eingaben wurden gelöscht.;
30613;Alle freien Felder sind belegt. Mit „Prüfen“ wird das Sudoku kontrolliert.;
30617;Fülle alle freien Felder aus. Rot bedeutet einen direkten Sudoku-Konflikt.;
30732;f'Sudoku – {label}';
30733;Das Sudoku ist vollständig richtig. Ein neues Sudoku wird erzeugt.;
30738;Noch nicht vollständig richtig. Rote Felder bitte überprüfen.;
30823;Mathe-Stadt – ISO-Metrik;
30864;Aufgabe auf dem Grundstück;
30867;Gehe zu einem Grundstück mit ?-Markierung.;
30880;Aufgabe prüfen;
30885;Bauen / Rückbauen;
30890;Baustufe errichten;
30893;Gebäude zurückbauen;
30898;Anlage-Bank;
30901;Besuche ein BANK-Gebäude, um Budget anzulegen oder Zinsen zu prüfen.;
30915;Einzahlen;
30916;Abheben;
30934;Bankabrechnung prüfen;
30940;Maus: Zielquader anklicken.\n🌳 Baum = gesperrt · ? = Aufgabe · BANK = Anlage-Bank.\nHaus: Grundmauern → Etage → Dach.;
30948;Neue Mathe-Stadt;
31034;Start: Klicke auf einen erreichbaren Quader. Bäume werden automatisch umgangen.;
31328;Dort steht ein Baum. Dieser Quader ist nicht begehbar.;
31333;Zu diesem Quader gibt es keinen freien Weg.;
