Marker / msgid;Default msgstr / Beschreibung
mo:cantor_columns_spin;"Anzahl der Spalten, 1 bis {…}; 0 = leer"
mo:cantor_diagonal_value_list;Nach 'Berechnen' enthält jede Listenzeile eine Matrix-Reihe.
mo:cantor_rows_spin;"Anzahl der Reihen, 1 bis {…}; 0 = leer"
mo:CantorDiagonalFactWidget.calculate_button;Berechnen
mo:CantorDiagonalFactWidget.columns_spin;"Anzahl der Spalten, 1 bis {…}; 0 = leer"
mo:CantorDiagonalFactWidget.description_label;Die Matrix verwendet die Cantor-Paarungsfunktion zur diagonalen Nummerierung von Paaren natürlicher Zahlen:\nπ(r,c) = ((r+c) · (r+c+1)) / 2 + c
mo:CantorDiagonalFactWidget.rows_spin;"Anzahl der Reihen, 1 bis {…}; 0 = leer"
mo:CantorDiagonalFactWidget.status_label;Reihen und Spalten sind noch leer. Bitte beide Werte einstellen.
mo:CantorDiagonalFactWidget.title_label;Cantor – Diagonal Argument
mo:CantorDiagonalFactWidget.value_list;Nach 'Berechnen' enthält jede Listenzeile eine Matrix-Reihe.
mo:character_editor_list;character editor list
mo:character_pixel_grid;character pixel grid
mo:character_preview;character preview
mo:chm_content_view;chm content view
mo:chm_navigation_toolbar;Navigation
mo:chm_search_button;Ersten Treffer suchen
mo:chm_viewer_dialog;CHM Viewer
mo:ChmSearchTab.search_button;Ersten Treffer suchen
mo:ChmSearchTab.search_edit;search edit
mo:ChmSearchTab.tree;tree
mo:ChmSourceDialog.editor;editor
mo:ChmViewerDialog.about_action;Über …
mo:ChmViewerDialog.add_favorite_button;Aktuelle Seite hinzufügen
mo:ChmViewerDialog.back_action;back action
mo:ChmViewerDialog.copy_action;Kopieren
mo:ChmViewerDialog.favorites_tab;Favorit suchen …
mo:ChmViewerDialog.file_status;Keine CHM-Datei geöffnet
mo:ChmViewerDialog.forward_action;forward action
mo:ChmViewerDialog.home_action;index.html anzeigen
mo:ChmViewerDialog.keywords_tab;Schlüsselwort suchen …
mo:ChmViewerDialog.menu_bar;menu bar
mo:ChmViewerDialog.navigation_toolbar;Navigation
mo:ChmViewerDialog.open_action;CHM-Datei öffnen
mo:ChmViewerDialog.quit_action;Programm beenden
mo:ChmViewerDialog.remove_favorite_button;Entfernen
mo:ChmViewerDialog.source_action;Seiten Quelltext
mo:ChmViewerDialog.splitter;splitter
mo:ChmViewerDialog.status_bar;status bar
mo:ChmViewerDialog.tabs;tabs
mo:ChmViewerDialog.topics_tab;Thema/Topic suchen …
mo:ChmViewerDialog.web_view;web view
mo:coff_object_button;COFF32 .o
mo:custom_dock_title_bar;custom dock title bar
mo:custom_dock_title_label;custom dock title label
mo:d64_content_dock;Projekt / Informationen
mo:d64_content_list;d64 content list
mo:dbase_form_assemble_button;Assemble
mo:dbase_form_border_color_button;...
mo:dbase_form_border_color_combo;dbase form border color combo
mo:dbase_form_border_round_bl_spinbox;dbase form border round bl spinbox
mo:dbase_form_border_round_br_spinbox;dbase form border round br spinbox
mo:dbase_form_border_round_tl_spinbox;dbase form border round tl spinbox
mo:dbase_form_border_round_tr_spinbox;dbase form border round tr spinbox
mo:dbase_form_border_shadow_color_button;...
mo:dbase_form_border_shadow_color_combo;dbase form border shadow color combo
mo:dbase_form_border_size_spinbox;dbase form border size spinbox
mo:dbase_form_border_style_combo;dbase form border style combo
mo:dbase_form_brush_cut_height_spinbox;dbase form brush cut height spinbox
mo:dbase_form_brush_cut_width_spinbox;dbase form brush cut width spinbox
mo:dbase_form_brush_gradient_combo;dbase form brush gradient combo
mo:dbase_form_brush_style_combo;dbase form brush style combo
mo:dbase_form_build_bar;dbase form build bar
mo:dbase_form_build_status;Noch nicht kompiliert
mo:dbase_form_compile_button;Compile
mo:dbase_form_component_tabs;dbase form component tabs
mo:dbase_form_database_icon_view;dbase form database icon view
mo:dbase_form_designer_dock;dBase Formular - Designer
mo:dbase_form_event_grid;dbase form event grid
mo:dbase_form_event_source_button;→
mo:dbase_form_font_alpha_combo;dbase form font alpha combo
mo:dbase_form_font_background_button;...
mo:dbase_form_font_background_combo;dbase form font background combo
mo:dbase_form_font_bold_checkbox;dbase form font bold checkbox
mo:dbase_form_font_family_combo;dbase form font family combo
mo:dbase_form_font_foreground_button;...
mo:dbase_form_font_foreground_combo;dbase form font foreground combo
mo:dbase_form_font_italic_checkbox;dbase form font italic checkbox
mo:dbase_form_font_size_spinbox;dbase form font size spinbox
mo:dbase_form_font_stroke_checkbox;dbase form font stroke checkbox
mo:dbase_form_font_underline_checkbox;dbase form font underline checkbox
mo:dbase_form_graphics_view;dbase form graphics view
mo:dbase_form_property_dock;dBase Formular - Eigenschaften
mo:dbase_form_property_splitter;dbase form property splitter
mo:dbase_form_property_tree;dbase form property tree
mo:dbase_form_source_outline;dbase form source outline
mo:dbase_form_source_splitter;dbase form source splitter
mo:dbase_form_standard_icon_view;dbase form standard icon view
mo:dbase_form_start_button;Start
mo:dbase_form_tabs;dbase form tabs
mo:dbase_form_target_combo;Zielplattform des Formularprogramms
mo:dbase_form_timer_active_checkbox;dbase form timer active checkbox
mo:dbase_form_timer_interval_spinbox;dbase form timer interval spinbox
mo:dbase_form_upper_tabs;dbase form upper tabs
mo:dbase_table_designer_dock;dBase Tabelle - Designer
mo:dbase_table_field_decimals_spin;dbase table field decimals spin
mo:dbase_table_field_grid;dbase table field grid
mo:dbase_table_field_index_checkbox;Feld als Index-Kandidat markieren
mo:dbase_table_field_length_spin;dbase table field length spin
mo:dbase_table_field_type_combo;dbase table field type combo
mo:dbase_table_inner_tabs;dbase table inner tabs
mo:dbase_table_load_button;Laden
mo:dbase_table_parent_tabs;dbase table parent tabs
mo:dbase_table_save_as_button;Speichern unter ...
mo:dbase_table_save_button;Speichern
mo:DBaseFormControlItem.proxy;proxy
mo:DBaseFormPropertyPanel.bold_check;bold check
mo:DBaseFormPropertyPanel.border_color_button;...
mo:DBaseFormPropertyPanel.border_color_combo;border color combo
mo:DBaseFormPropertyPanel.border_color_holder;border color holder
mo:DBaseFormPropertyPanel.border_round_bl_spin;border round bl spin
mo:DBaseFormPropertyPanel.border_round_br_spin;border round br spin
mo:DBaseFormPropertyPanel.border_round_tl_spin;border round tl spin
mo:DBaseFormPropertyPanel.border_round_tr_spin;border round tr spin
mo:DBaseFormPropertyPanel.border_shadow_color_button;...
mo:DBaseFormPropertyPanel.border_shadow_color_combo;border shadow color combo
mo:DBaseFormPropertyPanel.border_shadow_color_holder;border shadow color holder
mo:DBaseFormPropertyPanel.border_size_spin;border size spin
mo:DBaseFormPropertyPanel.border_style_combo;border style combo
mo:DBaseFormPropertyPanel.brush_cut_height_spin;brush cut height spin
mo:DBaseFormPropertyPanel.brush_cut_width_spin;brush cut width spin
mo:DBaseFormPropertyPanel.brush_gradient_combo;brush gradient combo
mo:DBaseFormPropertyPanel.brush_style_combo;brush style combo
mo:DBaseFormPropertyPanel.database_icon_view;database icon view
mo:DBaseFormPropertyPanel.event_grid;event grid
mo:DBaseFormPropertyPanel.font_alpha_combo;font alpha combo
mo:DBaseFormPropertyPanel.font_background_button;...
mo:DBaseFormPropertyPanel.font_background_combo;font background combo
mo:DBaseFormPropertyPanel.font_background_holder;font background holder
mo:DBaseFormPropertyPanel.font_combo;font combo
mo:DBaseFormPropertyPanel.font_foreground_button;...
mo:DBaseFormPropertyPanel.font_foreground_combo;font foreground combo
mo:DBaseFormPropertyPanel.font_foreground_holder;font foreground holder
mo:DBaseFormPropertyPanel.font_size_spin;font size spin
mo:DBaseFormPropertyPanel.italic_check;italic check
mo:DBaseFormPropertyPanel.lower_tabs;lower tabs
mo:DBaseFormPropertyPanel.property_tree;property tree
mo:DBaseFormPropertyPanel.standard_icon_view;standard icon view
mo:DBaseFormPropertyPanel.stroke_check;stroke check
mo:DBaseFormPropertyPanel.timer_active_check;timer active check
mo:DBaseFormPropertyPanel.timer_interval_spin;timer interval spin
mo:DBaseFormPropertyPanel.underline_check;underline check
mo:DBaseFormPropertyPanel.upper_tabs;upper tabs
mo:DBaseFormPropertyPanel.vertical_splitter;vertical splitter
mo:DBaseTableDesignerWidget.table_tabs;table tabs
mo:DBaseTablePage.field_grid;field grid
mo:DBaseTablePage.inner_tabs;inner tabs
mo:DBaseTablePage.load_button;Laden
mo:DBaseTablePage.save_as_button;Speichern unter ...
mo:DBaseTablePage.save_button;Speichern
mo:desktop_properties_panel;desktop properties panel
mo:desktop_properties_scroll_area;desktop properties scroll area
mo:desktop_properties_scroll_widget;desktop properties scroll widget
mo:desktop_properties_tabs;desktop properties tabs
mo:desktop_settings_action;Desktop-Einstellungen ...
mo:desktop_settings_dock;Desktop Properties
mo:DesktopPropertiesDialog.btn_apply;btn apply
mo:DesktopPropertiesDialog.btn_cancel;btn cancel
mo:DesktopPropertiesDialog.btn_components;btn components
