Marker / msgid;Default msgstr / Beschreibung
mo:ExplorerWindow.pixel_screen_editor_action;Einen 320x200-Pixelbildschirm mit 16 Farben und Formwerkzeugen bearbeiten
mo:ExplorerWindow.project_new_button;Neu
mo:ExplorerWindow.project_open_button;Projektdatei (*.pro) öffnen
mo:ExplorerWindow.project_path_edit;Pfad zur Projektdatei (*.pro)
mo:ExplorerWindow.project_save_as_button;Speichern unter...
mo:ExplorerWindow.project_save_button;Speichern
mo:ExplorerWindow.project_tree;"Doppelklick öffnet Dateien bzw. zeigt Archiv-/Objektinformationen; Checkboxen werden mit einfachem Klick umgeschaltet"
mo:ExplorerWindow.quit_action;Beenden
mo:ExplorerWindow.refresh_action;refresh action
mo:ExplorerWindow.resource_action;Resource Builder
mo:ExplorerWindow.right_dock;Projekt / Informationen
mo:ExplorerWindow.right_info_tabs;right info tabs
mo:ExplorerWindow.right_panel_tabs;right panel tabs
mo:ExplorerWindow.save_as_action;save as action
mo:ExplorerWindow.save_file_action;save file action
mo:ExplorerWindow.settings_action;Desktop-Einstellungen ...
mo:ExplorerWindow.text_screen_editor_action;Eine 40x25-C64-Bildschirmseite mit Zeichen und Farben bearbeiten
mo:ExplorerWindow.theme_action;theme action
mo:ExplorerWindow.toolbar;Datei und Navigation
mo:ExplorerWindow.windows_graphics_build_action;Windows Direct2D/Direct3D Runtime DLL bauen …
mo:ExplorerWindow.windows_graphics_header_action;Windows Direct2D/Direct3D Runtime schreiben …
mo:ExplorerWindow.winuae_action;WinUAE
mo:ExplorerWindow.zoom_in_action;Schrift um 1 Punkt vergrößern
mo:ExplorerWindow.zoom_out_action;Schrift um 1 Punkt verkleinern
mo:fibonacci_binet_calculate_button;Berechnen
mo:fibonacci_binet_index_spin;"Index n der Fibonacci-Zahl; zulässig sind 1 bis 1000."
mo:fibonacci_binet_result;Mit „Berechnen“ wird F(n) über die Binetsche Formel bestimmt.
mo:fibonacci_graphics_scene;fibonacci graphics scene
mo:fibonacci_graphics_view;fibonacci graphics view
mo:fibonacci_pascal_qpainter_canvas;fibonacci pascal qpainter canvas
mo:FibonacciSpiralFactWidget.calculate_button;Berechnen
mo:FibonacciSpiralFactWidget.canvas;canvas
mo:FibonacciSpiralFactWidget.description_label;"Die Fibonacci-Darstellung liegt in einer scrollbaren QGraphicsScene. Oben werden Fibonacci-Flächen mit QPainter gezeichnet; darunter zeigt das weit auseinandergezogene, nochmals um 20 % vergrößerte Pascal-Dreieck die flachen Diagonalsummen."
mo:FibonacciSpiralFactWidget.formula_label;Binet: Fₙ = (φⁿ − ψⁿ) / √5
mo:FibonacciSpiralFactWidget.graphics_view;graphics view
mo:FibonacciSpiralFactWidget.index_spin;"Index n der Fibonacci-Zahl; zulässig sind 1 bis 1000."
mo:FibonacciSpiralFactWidget.result_edit;Mit „Berechnen“ wird F(n) über die Binetsche Formel bestimmt.
mo:FibonacciSpiralFactWidget.status_label;Bereit. Die SpinBox akzeptiert Werte von 1 bis 1000.
mo:FibonacciSpiralFactWidget.title_label;Fibonacci Spirale
mo:file_icon_list;file icon list
mo:file_information_tab;file information tab
mo:filesystem_dock;Dateisystem und Dateien
mo:generated_amiga_cpu_combo;generated amiga cpu combo
mo:generated_amiga_fpu_combo;generated amiga fpu combo
mo:generated_assembler_action_panel;generated assembler action panel
mo:generated_assembly_editor;Nach dem Kompilieren werden hier die ASM-Daten angezeigt.
mo:generated_assembly_status_label;ASM-Daten werden beim Kompilieren erzeugt
mo:generated_build_target_combo;Compiler-/Assemblerziel auswählen
mo:generated_prolog_verbose_checkbox;Verbose
mo:generated_windows_graphics_combo;generated windows graphics combo
mo:gorilla_parabola_math_view;gorilla parabola math view
mo:GorillaParabolaMathGameWidget.new_game_button;Neue Skyline
mo:GorillaParabolaMathGameWidget.status_label;status label
mo:GorillaParabolaMathGameWidget.title_label;Gorilla-Parabeln – Wolkenkratzer
mo:GorillaParabolaMathGameWidget.turn_label;turn label
mo:GorillaParabolaMathGameWidget.view;view
mo:GorillaParabolaMathGameWidget.wind_label;wind label
mo:green_beige_menu_bar;green beige menu bar
mo:green_beige_popup_menu;green beige popup menu
mo:green_beige_title_bar;green beige title bar
mo:green_beige_title_icon;green beige title icon
mo:green_beige_top_chrome;green beige top chrome
mo:GreenBeigeTitleBar.icon_label;icon label
mo:hex_editor;hex editor
mo:hints_editor;Hinweise werden später an dieser Stelle angezeigt.
mo:information_panel_tab;information panel tab
mo:iso_math_bank_answer;iso math bank answer
mo:iso_math_task_answer;iso math task answer
mo:iso_metric_math_view;iso metric math view
mo:IsoMetricMathGameWidget.bank_amount_spin;bank amount spin
mo:IsoMetricMathGameWidget.bank_answer_edit;bank answer edit
mo:IsoMetricMathGameWidget.bank_audit_button;Bankabrechnung prüfen
mo:IsoMetricMathGameWidget.bank_audit_label;bank audit label
mo:IsoMetricMathGameWidget.bank_group;Anlage-Bank
mo:IsoMetricMathGameWidget.bank_info_label;Besuche ein BANK-Gebäude, um Budget anzulegen oder Zinsen zu prüfen.
mo:IsoMetricMathGameWidget.bank_label;bank label
mo:IsoMetricMathGameWidget.budget_label;budget label
mo:IsoMetricMathGameWidget.build_button;Baustufe errichten
mo:IsoMetricMathGameWidget.build_group;Bauen / Rückbauen
mo:IsoMetricMathGameWidget.build_info_label;build info label
mo:IsoMetricMathGameWidget.demolish_button;Gebäude zurückbauen
mo:IsoMetricMathGameWidget.deposit_button;Einzahlen
mo:IsoMetricMathGameWidget.new_map_button;Neue Mathe-Stadt
mo:IsoMetricMathGameWidget.position_label;position label
mo:IsoMetricMathGameWidget.solve_task_button;Aufgabe prüfen
mo:IsoMetricMathGameWidget.status_label;status label
mo:IsoMetricMathGameWidget.task_answer_edit;task answer edit
mo:IsoMetricMathGameWidget.task_group;Aufgabe auf dem Grundstück
mo:IsoMetricMathGameWidget.task_question_label;Gehe zu einem Grundstück mit ?-Markierung.
mo:IsoMetricMathGameWidget.title_label;Mathe-Stadt – ISO-Metrik
mo:IsoMetricMathGameWidget.view;view
mo:IsoMetricMathGameWidget.withdraw_button;Abheben
mo:KnowledgeAlternativeDialog.cancel_button;Abbrechen
mo:KnowledgeAlternativeDialog.info_label;{…} mögliche Alternative(n)
mo:KnowledgeAlternativeDialog.list_widget;list widget
mo:KnowledgeAlternativeDialog.ok_button;OK
mo:KnowledgeAlternativeDialog.search_edit;Alternativen durchsuchen …
mo:KnowledgeLevelButton.alternative_host;alternative host
mo:KnowledgeLevelButton.arrow_button;▼
mo:KnowledgeLevelButton.embedded_alternative_check_button;Prüfen
mo:KnowledgeLevelButton.embedded_alternative_combo;embedded alternative combo
mo:KnowledgeLevelButton.embedded_alternative_label;Alternativen:
mo:KnowledgeLevelButton.main_button;main button
mo:KnowledgeQueryLane.add_lane_button;Hinzufügen
mo:KnowledgeQueryLane.add_level_button;Prüfen +
mo:KnowledgeQueryLane.alternative_check_button;Prüfen +
mo:KnowledgeQueryLane.alternative_combo;Mögliche Werte für den nächsten Entscheidungs-Level
mo:KnowledgeQueryLane.alternative_label;Alternativen:
mo:KnowledgeQueryLane.alternative_overlay;alternative overlay
mo:KnowledgeQueryLane.alternative_status_label;alternative status label
mo:KnowledgeQueryLane.command_host;command host
mo:KnowledgeQueryLane.delete_lane_button;Löschen
mo:KnowledgeQueryLane.level_button_host;level button host
mo:KnowledgeQueryLane.level_container;level container
mo:KnowledgeQueryLane.level_scroll;level scroll
mo:KnowledgeQueryLane.query_edit;Wert für den nächsten Level, z. B. gesund
mo:KnowledgeQueryLane.query_status;Bitte links einen Fakt bzw. eine Regel auswählen.
mo:LanguageRadioFlag.flag;flag
mo:LanguageRadioFlag.radio;radio
mo:learning_content_stack;learning content stack
mo:learning_facts_tree;learning facts tree
mo:learning_games_tree;learning games tree
mo:learning_left_tabs;learning left tabs
mo:line_number_area;Linke Markerspalte: Breakpoint (hellrot)\nRechte Markerspalte: Favorit/Bookmark (hellblau)\nLinksklick setzt, Rechtsklick löscht den Marker.
mo:localize_po_mo_dock;Localize PO/MO
mo:localize_po_mo_tool;localize po mo tool
mo:localize_themed_message_box;localize themed message box
mo:LocalizeCodeEditor._line_number_area;line number area
mo:LocalizeToolWindow.btn_apply;btn apply
mo:LocalizeToolWindow.btn_cancel;btn cancel
mo:LocalizeToolWindow.btn_create;btn create
mo:LocalizeToolWindow.btn_cut;btn cut
mo:LocalizeToolWindow.btn_delete;btn delete
mo:LocalizeToolWindow.btn_delete_text;btn delete text
mo:LocalizeToolWindow.btn_insert;btn insert
mo:LocalizeToolWindow.btn_load_mo_path;btn load mo path
mo:LocalizeToolWindow.btn_load_po_path;btn load po path
mo:LocalizeToolWindow.btn_open_po;btn open po
mo:LocalizeToolWindow.btn_paste;btn paste
mo:LocalizeToolWindow.btn_save_as_po;btn save as po
mo:LocalizeToolWindow.btn_save_po;btn save po
mo:LocalizeToolWindow.ed_mo_path;ed mo path
mo:LocalizeToolWindow.ed_msgid;ed msgid
mo:LocalizeToolWindow.ed_po_path;ed po path
mo:LocalizeToolWindow.gb_dest;gb dest
mo:LocalizeToolWindow.gb_source;gb source
mo:LocalizeToolWindow.msgid_list;msgid list
mo:LocalizeToolWindow.tabs;tabs
mo:LocalizeToolWindow.text_msgstr;text msgstr
mo:LocalizeToolWindow.ws1;ws1
mo:log_dock;Protokoll
mo:main_help_action;Hilfe öffnen
mo:main_toolbar;Datei und Navigation
mo:markdown_preview;markdown preview
mo:math_learning_dock;Mathematik
mo:math_numbers_wall_view;math numbers wall view
mo:math_task_card;math task card
mo:MathematicsLearningDockWidget.arithmetic_widget;arithmetic widget
mo:MathematicsLearningDockWidget.cantor_diagonal_widget;cantor diagonal widget
mo:MathematicsLearningDockWidget.content_stack;content stack
mo:MathematicsLearningDockWidget.facts_hint;Doppelklick auf einen Fakt öffnet rechts die zugehörige Darstellung.
mo:MathematicsLearningDockWidget.facts_tree;facts tree
mo:MathematicsLearningDockWidget.fibonacci_spiral_widget;fibonacci spiral widget
mo:MathematicsLearningDockWidget.games_hint;Doppelklick auf einen Eintrag startet das Lernspiel rechts in der Arbeitsfläche.
mo:MathematicsLearningDockWidget.games_tree;games tree
mo:MathematicsLearningDockWidget.gorilla_parabola_widget;gorilla parabola widget
mo:MathematicsLearningDockWidget.info_browser;info browser
mo:MathematicsLearningDockWidget.iso_metric_widget;iso metric widget
mo:MathematicsLearningDockWidget.left_tabs;left tabs
mo:MathematicsLearningDockWidget.numbers_wall_widget;numbers wall widget
mo:MathematicsLearningDockWidget.pascal_triangle_widget;pascal triangle widget
mo:MathematicsLearningDockWidget.placeholder;Wähle links unter „Fakten“ oder „Spiele“ per Doppelklick einen Eintrag aus.
mo:MathematicsLearningDockWidget.sudoku_widget;sudoku widget
mo:NumberCalculatorDialog.backspace_button;←
mo:NumberCalculatorDialog.calculate_button;Berechnen
mo:NumberCalculatorDialog.change_button;Ändern
mo:NumberCalculatorDialog.clear_button;Löschen
mo:NumberCalculatorDialog.close_button;Schließen
mo:NumberCalculatorDialog.equals_button;=
mo:NumberCalculatorDialog.error_label;error label
mo:NumberCalculatorDialog.expression_display;expression display
mo:NumberCalculatorDialog.memory_label;memory label
mo:NumberCalculatorDialog.recall_button;Abrufen
mo:NumberCalculatorDialog.store_button;Speichern
mo:NumberPyramidTrainerWidget.check_button;Prüfen
mo:NumberPyramidTrainerWidget.graphics_view;graphics view
mo:NumberPyramidTrainerWidget.status_label;Die ersten zwei Pyramiden besitzen nur Vorgaben in der 1. Stufe. Die nächsten zwei Pyramiden geben zusätzlich Randwerte der 2. Stufe vor.
mo:NumberPyramidTrainerWidget.title_label;Wähle links im Tab „Spiele“ eine Zahlenmauer-Aufgabe aus.
mo:numbers_wall_input;0
mo:object_information_list;object information list
mo:object_information_tab;object information tab
mo:open_back_button;Zurück
mo:open_dialog_cancel_button;Abbrechen
mo:open_dialog_open_button;Öffnen
mo:open_directory_tree;open directory tree
mo:open_extension_check_list;open extension check list
mo:open_file_view;open file view
mo:open_forward_button;Vor
mo:open_full_path_combo;open full path combo
mo:open_main_splitter;open main splitter
mo:open_path_combo;open path combo
mo:open_path_stack;open path stack
mo:open_search_edit;Search
mo:open_up_button;Eine Verzeichnisebene höher
mo:palette_editor_list;palette editor list
mo:pascal_triangle_depth_spin;Anzahl sichtbarer Reihen ({…} bis {…})
mo:pascal_triangle_view;pascal triangle view
mo:PascalTriangleFactWidget.depth_spin;Anzahl sichtbarer Reihen ({…} bis {…})
mo:PascalTriangleFactWidget.description_label;Jeder innere Wert ist die Summe der beiden Werte links und rechts darüber. Die Randwerte sind immer 1.
mo:PascalTriangleFactWidget.level_label;level label
mo:PascalTriangleFactWidget.title_label;Pascal Dreieck
mo:PascalTriangleFactWidget.view;view
mo:petscii_character_dialog;PETSCII-Zeichen auswählen
mo:petscii_character_scroll_area;petscii character scroll area
mo:petscii_character_table;petscii character table
mo:petscii_dialog_close_button;Schließen
mo:petscii_dialog_heading;PETSCII-Zeichen für Byte an Offset ${…}
mo:project_open_button;Projektdatei (*.pro) öffnen
mo:project_open_file_dialog;Datei öffnen
mo:project_panel_tab;project panel tab
mo:project_path_edit;Pfad zur Projektdatei (*.pro)
mo:project_tree;"Doppelklick öffnet Dateien bzw. zeigt Archiv-/Objektinformationen; Checkboxen werden mit einfachem Klick umgeschaltet"
mo:ProjectOpenFileDialog.back_button;Zurück
mo:ProjectOpenFileDialog.breadcrumb_buttons_widget;breadcrumb buttons widget
mo:ProjectOpenFileDialog.breadcrumb_folder_button;Vollständigen Verzeichnispfad bearbeiten
mo:ProjectOpenFileDialog.breadcrumb_widget;breadcrumb widget
mo:ProjectOpenFileDialog.cancel_button;Abbrechen
mo:ProjectOpenFileDialog.directory_tree;directory tree
mo:ProjectOpenFileDialog.extension_list;extension list
mo:ProjectOpenFileDialog.file_combo;file combo
mo:ProjectOpenFileDialog.file_view;file view
mo:ProjectOpenFileDialog.forward_button;Vor
mo:ProjectOpenFileDialog.main_splitter;main splitter
mo:ProjectOpenFileDialog.open_button;Öffnen
mo:ProjectOpenFileDialog.path_combo;path combo
mo:ProjectOpenFileDialog.path_stack;path stack
mo:ProjectOpenFileDialog.search_edit;Search
mo:ProjectOpenFileDialog.subdir_button;Unterverzeichnisse anzeigen
mo:ProjectOpenFileDialog.up_button;Eine Verzeichnisebene höher
mo:prolog_knowledge_alternative_check_button;Prüfen +
mo:prolog_knowledge_alternative_combo;Mögliche Werte für den nächsten Entscheidungs-Level
mo:prolog_knowledge_alternative_label;Alternativen:
mo:prolog_knowledge_alternative_overlay;prolog knowledge alternative overlay
mo:prolog_knowledge_alternative_status;prolog knowledge alternative status
mo:prolog_knowledge_close_button;Schließen
mo:prolog_knowledge_database_combo;prolog knowledge database combo
mo:prolog_knowledge_database_label;Wissen-Datenbank:
mo:prolog_knowledge_database_status;Keine Datenbank geladen
mo:prolog_knowledge_dialog;PROLOG – Wissen-Datenbanken
mo:prolog_knowledge_directory_button;…
mo:prolog_knowledge_directory_edit;Verzeichnis der Wissen-Datenbanken
mo:prolog_knowledge_directory_label;Verzeichnis:
mo:prolog_knowledge_dock;PROLOG – Wissen-Datenbanken
mo:prolog_knowledge_embedded_alternative_check_button;Prüfen
mo:prolog_knowledge_embedded_alternative_combo;prolog knowledge embedded alternative combo
mo:prolog_knowledge_embedded_alternative_label;Alternativen:
mo:prolog_knowledge_fact_arity_combo;Stelligkeit/Argumentanzahl 1 bis 100 auswählen
mo:prolog_knowledge_fact_filter_button;Faktenfilter anwenden
mo:prolog_knowledge_fact_filter_edit;Faktenname filtern …
mo:prolog_knowledge_fact_tree;prolog knowledge fact tree
mo:prolog_knowledge_facts_caption;Fakten / Regeln
mo:prolog_knowledge_lane_add;Hinzufügen
mo:prolog_knowledge_lane_commands;prolog knowledge lane commands
mo:prolog_knowledge_lane_delete;Löschen
mo:prolog_knowledge_level_alternative_host;prolog knowledge level alternative host
mo:prolog_knowledge_level_arrow;▼
mo:prolog_knowledge_level_button_host;prolog knowledge level button host
mo:prolog_knowledge_level_container;prolog knowledge level container
mo:prolog_knowledge_level_main;prolog knowledge level main
mo:prolog_knowledge_level_scroll;prolog knowledge level scroll
mo:prolog_knowledge_main_container;prolog knowledge main container
mo:prolog_knowledge_main_scroll;prolog knowledge main scroll
mo:prolog_knowledge_open_button;Öffnen
mo:prolog_knowledge_query_check_add;Prüfen +
mo:prolog_knowledge_query_edit;Wert für den nächsten Level, z. B. gesund
mo:prolog_knowledge_query_lane;prolog knowledge query lane
mo:prolog_knowledge_query_status;Bitte links einen Fakt bzw. eine Regel auswählen.
mo:prolog_verbose_checkbox;Verbose
mo:PrologKnowledgeDialog.database_combo;database combo
mo:PrologKnowledgeDialog.database_label;Keine Datenbank geladen
mo:PrologKnowledgeDialog.directory_button;…
mo:PrologKnowledgeDialog.directory_edit;Verzeichnis der Wissen-Datenbanken
mo:PrologKnowledgeDialog.fact_arity_combo;Stelligkeit/Argumentanzahl 1 bis 100 auswählen
mo:PrologKnowledgeDialog.fact_filter_button;Faktenfilter anwenden
mo:PrologKnowledgeDialog.fact_filter_edit;Faktenname filtern …
mo:PrologKnowledgeDialog.fact_tree;fact tree
mo:PrologKnowledgeDialog.main_splitter;main splitter
mo:PrologKnowledgeDialog.open_button;Öffnen
mo:PrologKnowledgeDialog.query_main_container;query main container
mo:PrologKnowledgeDialog.query_main_scroll;query main scroll
mo:raw_data_editor;raw data editor
mo:recent_program_files_menu;recent program files menu
mo:ResourceBuilderToolWindow.alias_host;alias host
mo:ResourceBuilderToolWindow.alias_scroll;alias scroll
mo:ResourceBuilderToolWindow.btn_apply;btn apply
mo:ResourceBuilderToolWindow.btn_clear_all;btn clear all
mo:ResourceBuilderToolWindow.btn_delete;btn delete
mo:ResourceBuilderToolWindow.btn_py;btn py
mo:ResourceBuilderToolWindow.btn_xml;btn xml
mo:ResourceBuilderToolWindow.button_view_a;button view a
mo:ResourceBuilderToolWindow.button_view_b;button view b
mo:ResourceBuilderToolWindow.button_view_c;button view c
mo:ResourceBuilderToolWindow.chk_root_only;chk root only
mo:ResourceBuilderToolWindow.detail_view;detail view
mo:ResourceBuilderToolWindow.dir_edit;dir edit
mo:ResourceBuilderToolWindow.icon_view;icon view
mo:ResourceBuilderToolWindow.left_tabs;left tabs
mo:ResourceBuilderToolWindow.middle_widget;middle widget
mo:ResourceBuilderToolWindow.right_tabs;right tabs
mo:ResourceBuilderToolWindow.view_stack;view stack
mo:ResourceBuilderToolWindow.xml_edit;xml edit
mo:right_information_tabs;right information tabs
mo:right_panel_tabs;right panel tabs
mo:showException.btn;Schließen
mo:showException.text;text
mo:source_editor_with_minimap;source editor with minimap
mo:source_minimap;source minimap
mo:SourceAliasesTab.btn_add;btn add
mo:SourceAliasesTab.btn_browse;...
mo:SourceAliasesTab.btn_remove;btn remove
mo:SourceAliasesTab.ed_alias;ed alias
mo:SourceAliasesTab.ed_path;ed path
mo:SourceAliasesTab.lst;lst
mo:SourceEditorWithMiniMap.editor;editor
mo:SourceEditorWithMiniMap.minimap;minimap
mo:SourceTextEdit.completion_description;completion description
mo:SourceTextEdit.completion_frame;completion frame
mo:SourceTextEdit.completion_ghost;completion ghost
mo:SourceTextEdit.completion_header;completion header
mo:SourceTextEdit.instruction_help_current;instruction help current
mo:SourceTextEdit.instruction_help_description;instruction help description
mo:SourceTextEdit.instruction_help_frame;instruction help frame
mo:SourceTextEdit.instruction_help_header;instruction help header
mo:SourceTextEdit.line_number_area;line number area
mo:start_assembled_button;Start
mo:start_generated_button;Start
mo:status_cursor_panel;status cursor panel
mo:status_file_panel;status file panel
mo:status_keyboard_panel;status keyboard panel
mo:sudoku_board_frame;sudoku board frame
mo:sudoku_cell;sudoku cell
mo:SudokuTrainerWidget.board_frame;board frame
mo:SudokuTrainerWidget.check_button;Prüfen
mo:SudokuTrainerWidget.clear_button;Eingaben löschen
mo:SudokuTrainerWidget.help_label;Fülle die leeren Felder mit den Ziffern 1 bis 9. In jeder Zeile, Spalte und jedem 3×3-Block darf jede Ziffer nur einmal vorkommen.
mo:SudokuTrainerWidget.new_button;Neues Sudoku
mo:SudokuTrainerWidget.status_label;status label
mo:SudokuTrainerWidget.title_label;title label
mo:theme_action;theme action
mo:themed_message_box;themed message box
mo:toolbar_right_spacer;toolbar right spacer
mo:UserBdeAliasesTab.btn_add;btn add
mo:UserBdeAliasesTab.btn_options;...
mo:UserBdeAliasesTab.btn_remove;btn remove
mo:UserBdeAliasesTab.cb_driver;cb driver
mo:UserBdeAliasesTab.ed_alias;ed alias
mo:UserBdeAliasesTab.ed_options;ed options
mo:UserBdeAliasesTab.lst;lst
mo:windows_graphics_combo;Windows-Anwendungsart: Konsole, GUI, Direct2D oder Direct3D
mo:zoom_in_action;Schrift um 1 Punkt vergrößern
mo:zoom_out_action;Schrift um 1 Punkt verkleinern
